dataset	architecture	distractor_name	cap_len	token_pos	corr_max	corr_mean	corr_min	corr_num_neg	corr_num_pos	dist_max	dist_mean	dist_min	dist_num_neg	dist_num_pos
mscoco	init	max	9	8	11.216397	-4.9578056	-12.580358	8398.445209409065	393.55479059093517	10.577801	-4.9287877	-12.470906	8402.362593230064	389.6374067699369
mscoco	init	max	9	9	11.183024	-7.446146	-16.035402	8625.914515203673	166.08548479632816	10.840576	-7.3033447	-15.752188	8624.079747561675	167.92025243832472
mscoco	init	max	10	0	9.408553	-6.2791257	-13.497548	8650.205660377358	141.7943396226415	9.44804	-6.3410325	-13.609826	8649.861320754717	142.13867924528302
mscoco	init	max	10	1	8.919187	-4.564445	-11.094938	8434.951886792453	357.04811320754715	8.974125	-4.6085525	-11.157766	8434.969811320754	357.03018867924527
mscoco	init	max	10	2	10.35443	-5.877907	-13.552296	8530.919811320755	261.0801886792453	9.928776	-5.792408	-13.396103	8534.92075471698	257.07924528301885
mscoco	init	max	10	3	10.515588	-6.3076787	-14.379662	8535.57924528302	256.42075471698115	10.0608635	-6.2447524	-14.215079	8544.442452830188	247.55754716981133
mscoco	init	max	10	4	10.451261	-6.060067	-14.078163	8511.58679245283	280.4132075471698	10.018136	-5.97383	-13.882394	8512.417924528301	279.5820754716981
mscoco	init	max	10	5	10.95975	-6.4203973	-14.701834	8537.289622641509	254.71037735849058	10.407855	-6.2996497	-14.453388	8536.451886792453	255.54811320754717
mscoco	init	max	10	6	10.703038	-6.825804	-15.325482	8572.59716981132	219.40283018867925	10.296373	-6.729333	-15.137642	8574.484905660378	217.51509433962264
mscoco	init	max	10	7	11.540069	-7.011139	-15.813358	8592.287735849057	199.71226415094338	11.256911	-6.913776	-15.670025	8592.435849056605	199.5641509433962
mscoco	init	max	10	8	10.925402	-6.7710357	-15.425534	8584.35283018868	207.64716981132077	10.667274	-6.6955113	-15.247258	8582.566037735849	209.43396226415095
mscoco	init	max	10	9	11.677945	-5.0368586	-12.923328	8392.722641509434	399.27735849056603	10.942725	-5.0084987	-12.795104	8394.075471698114	397.92452830188677
mscoco	init	max	10	10	12.024444	-7.5843005	-16.340994	8630.775471698113	161.2245283018868	11.696009	-7.4297347	-16.068352	8629.138679245283	162.86132075471698
mscoco	init	max	11	0	9.365424	-6.342267	-13.608478	8655.270875763748	136.72912423625255	9.438552	-6.3773346	-13.690237	8651.747454175153	140.25254582484726
mscoco	init	max	11	1	8.859147	-4.590772	-11.011711	8442.633401221996	349.36659877800406	9.014373	-4.633582	-11.183684	8442.177189409369	349.8228105906314
mscoco	init	max	11	2	10.182172	-5.7857146	-13.369417	8530.849287169043	261.1507128309572	9.750964	-5.718558	-13.275959	8534.095723014256	257.90427698574337
mscoco	init	max	11	3	11.148514	-6.2475777	-14.492329	8536.063136456212	255.93686354378818	10.553731	-6.247531	-14.424807	8547.800407331975	244.19959266802445
mscoco	init	max	11	4	10.168253	-6.593456	-14.8352	8566.674134419553	225.32586558044807	9.854423	-6.4690313	-14.58348	8566.274949083503	225.72505091649694
mscoco	init	max	11	5	10.526299	-6.3225565	-14.441926	8529.346232179227	262.6537678207739	10.099835	-6.241458	-14.303546	8527.849287169043	264.1507128309572
mscoco	init	max	11	6	10.630608	-6.942477	-15.438305	8589.9633401222	202.03665987780042	10.318429	-6.888704	-15.274907	8592.521384928717	199.4786150712831
mscoco	init	max	11	7	10.60261	-6.448778	-14.701003	8559.613034623218	232.3869653767821	10.415683	-6.4020977	-14.6548395	8561.152749490835	230.84725050916498
mscoco	init	max	11	8	11.232585	-6.936687	-15.602839	8582.297352342159	209.70264765784114	11.058498	-6.888114	-15.539011	8583.423625254583	208.57637474541752
mscoco	init	max	11	9	11.135895	-6.9334764	-15.727935	8587.49083503055	204.5091649694501	10.848521	-6.845866	-15.5193	8589.757637474542	202.24236252545825
mscoco	init	max	11	10	12.0764265	-5.0852466	-12.885343	8395.405295315682	396.5947046843177	11.298427	-5.081688	-12.8257065	8405.947046843177	386.0529531568228
mscoco	init	max	11	11	12.208964	-7.6449647	-16.382915	8632.598778004074	159.40122199592668	11.9159155	-7.542035	-16.20788	8632.855397148676	159.14460285132384
mscoco	init	max	12	0	9.266806	-6.2169123	-13.315633	8647.258620689656	144.74137931034483	9.342039	-6.2768135	-13.425609	8644.758620689656	147.24137931034483
mscoco	init	max	12	1	8.919079	-4.568449	-11.107828	8434.836206896553	357.16379310344826	8.934824	-4.642999	-11.176831	8436.5	355.5
mscoco	init	max	12	2	11.44986	-6.2829485	-14.129566	8573.198275862069	218.80172413793105	10.935592	-6.1664515	-13.9875765	8570.655172413793	221.3448275862069
mscoco	init	max	12	3	11.001758	-5.5404954	-13.07974	8475.594827586207	316.4051724137931	10.282166	-5.5169454	-12.981724	8490.198275862069	301.80172413793105
mscoco	init	max	12	4	9.939203	-6.0405917	-14.000184	8508.922413793103	283.07758620689657	9.46035	-5.9631405	-13.871124	8522.655172413793	269.3448275862069
mscoco	init	max	12	5	10.906762	-6.9910316	-15.4919	8576.853448275862	215.14655172413794	10.3287945	-6.838716	-15.204833	8572.905172413793	219.0948275862069
mscoco	init	max	12	6	10.1651	-7.0517664	-15.585864	8595.293103448275	196.70689655172413	9.894864	-7.016366	-15.502778	8602.077586206897	189.92241379310346
mscoco	init	max	12	7	11.861453	-7.0294995	-15.949037	8595.672413793103	196.32758620689654	11.695669	-7.011664	-15.957422	8602.818965517241	189.18103448275863
mscoco	init	max	12	8	10.904209	-7.1592164	-15.693287	8610.818965517241	181.18103448275863	10.67886	-7.1419697	-15.695321	8613.353448275862	178.64655172413794
mscoco	init	max	12	9	10.918619	-5.7823534	-13.760266	8481.887931034482	310.11206896551727	10.489298	-5.8026495	-13.788745	8483.689655172413	308.3103448275862
mscoco	init	max	12	10	13.00202	-6.6115665	-15.83181	8536.646551724138	255.35344827586206	12.492293	-6.5650454	-15.692697	8544.775862068966	247.22413793103448
mscoco	init	max	12	11	13.372439	-5.114168	-13.304563	8367.741379310344	424.2586206896552	12.094395	-5.133757	-13.341581	8383.905172413793	408.0948275862069
mscoco	init	max	12	12	12.786386	-7.828607	-16.781206	8634.672413793103	157.32758620689654	12.558054	-7.685091	-16.527433	8634.629310344828	157.3706896551724
mscoco	init	max	13	0	9.184155	-6.197891	-13.477191	8646.36	145.64	9.535479	-6.4621716	-13.914647	8649.36	142.64
mscoco	init	max	13	1	8.66045	-4.566588	-10.894584	8434.6	357.4	9.146779	-4.766585	-11.244311	8459.32	332.68
mscoco	init	max	13	2	10.460815	-5.972031	-13.372351	8551.72	240.28	10.343065	-5.9472456	-13.521111	8548.56	243.44
mscoco	init	max	13	3	10.61642	-6.086674	-13.889515	8533.28	258.72	10.305878	-6.158038	-13.915326	8549.36	242.64
mscoco	init	max	13	4	9.724145	-5.9766526	-13.774457	8512.48	279.52	9.587742	-5.9439025	-13.668458	8515.84	276.16
mscoco	init	max	13	5	10.789981	-6.411078	-14.987844	8547.76	244.24	10.8750305	-6.260206	-14.859615	8531.0	261.0
mscoco	init	max	13	6	10.1139765	-6.443976	-14.477185	8559.64	232.36	9.912981	-6.4448423	-14.518237	8560.0	232.0
mscoco	init	max	13	7	9.565638	-6.607842	-14.924331	8572.16	219.84	9.480309	-6.6378846	-14.726256	8579.48	212.52
mscoco	init	max	13	8	11.034521	-6.5166802	-15.147891	8567.4	224.6	10.791173	-6.4926577	-15.207867	8567.64	224.36
mscoco	init	max	13	9	10.070558	-6.6371503	-14.926274	8565.76	226.24	9.98921	-6.6616664	-14.833975	8571.24	220.76
mscoco	init	max	13	10	10.886848	-6.6714325	-15.263218	8549.64	242.36	10.84358	-6.7112455	-15.246036	8564.64	227.36
mscoco	init	max	13	11	11.974627	-6.599551	-15.399266	8550.52	241.48	11.860072	-6.675665	-15.253955	8565.52	226.48
mscoco	init	max	13	12	12.287412	-4.924039	-12.675323	8347.0	445.0	12.337037	-5.0545278	-13.000404	8390.4	401.6
mscoco	init	max	13	13	12.45091	-7.659616	-16.614897	8633.84	158.16	12.507427	-7.676888	-16.577251	8636.76	155.24
mscoco	init	med	7	0	9.361712	-6.3269863	-13.674838	8647.33552631579	144.66447368421052	9.317042	-6.2300935	-13.389644	8652.486842105263	139.51315789473685
mscoco	init	med	7	1	8.998408	-4.5312896	-11.099586	8421.263157894737	370.7368421052632	8.597772	-4.5153046	-10.947034	8434.967105263158	357.0328947368421
mscoco	init	med	7	2	9.580453	-5.6064267	-13.1957	8495.802631578947	296.19736842105266	8.171539	-5.271402	-12.422989	8523.980263157895	268.01973684210526
mscoco	init	med	7	3	9.971219	-6.166018	-14.158088	8508.427631578947	283.57236842105266	8.833646	-5.9488487	-13.670537	8558.78947368421	233.21052631578948
mscoco	init	med	7	4	10.169546	-6.8827786	-15.467259	8586.427631578947	205.57236842105263	9.245549	-6.513556	-14.710896	8610.605263157895	181.39473684210526
mscoco	init	med	7	5	10.111778	-6.318634	-14.372709	8541.03947368421	250.96052631578948	9.030813	-6.108837	-13.875145	8569.980263157895	222.01973684210526
mscoco	init	med	7	6	11.038757	-4.9131584	-12.467192	8388.644736842105	403.35526315789474	8.438024	-4.7577195	-12.017757	8423.16447368421	368.8355263157895
mscoco	init	med	7	7	9.104321	-7.028096	-15.217401	8601.138157894737	190.86184210526315	8.36434	-6.5929856	-14.350945	8609.0	183.0
mscoco	init	med	8	0	9.30948	-6.270903	-13.476266	8650.696669029057	141.3033309709426	9.390773	-6.3117323	-13.558907	8652.328136073707	139.6718639262934
mscoco	init	med	8	1	8.83346	-4.558179	-11.044076	8430.67399007796	361.3260099220411	8.798403	-4.5776825	-11.047305	8439.14316087881	352.85683912119066
mscoco	init	med	8	2	10.241755	-5.934371	-13.751846	8539.030474840538	252.96952515946137	9.031707	-5.5959725	-13.046339	8541.555634301914	250.44436569808647
mscoco	init	med	8	3	10.257968	-6.074541	-13.868771	8539.285613040396	252.71438695960313	9.122312	-5.839027	-13.407853	8553.153082919915	238.84691708008503
mscoco	init	med	8	4	9.863739	-5.707947	-13.408666	8486.737774627923	305.26222537207656	8.697247	-5.464723	-12.885588	8493.08929836995	298.91070163004963
mscoco	init	med	8	5	9.92303	-6.8202634	-15.20097	8589.888731396173	202.11126860382709	9.201153	-6.4741178	-14.511434	8601.05811481219	190.94188518781007
mscoco	init	med	8	6	10.169761	-6.9330773	-15.33717	8612.154500354358	179.84549964564138	9.299046	-6.569293	-14.545577	8618.187101346562	173.8128986534373
mscoco	init	med	8	7	10.259698	-4.8428483	-12.1577	8399.153791637136	392.8462083628632	8.328597	-4.658773	-11.664634	8409.948972360029	382.05102763997166
mscoco	init	med	8	8	10.072999	-7.194802	-15.384404	8619.316087880936	172.6839121190645	9.252259	-6.778506	-14.741776	8619.731396172927	172.268603827073
mscoco	init	med	9	0	9.393943	-6.3423853	-13.623541	8653.014916810098	138.98508318990247	9.350365	-6.2947717	-13.532158	8652.851979345955	139.14802065404476
mscoco	init	med	9	1	8.680869	-4.598754	-11.033134	8443.037865748709	348.9621342512909	8.735723	-4.5761056	-11.02848	8439.944348823867	352.0556511761331
mscoco	init	med	9	2	10.546614	-5.852489	-13.603322	8535.542742398164	256.4572576018359	9.101507	-5.5507197	-13.010316	8536.580034423409	255.4199655765921
mscoco	init	med	9	3	10.5253	-6.1852646	-14.169033	8531.24727481354	260.7527251864601	9.463826	-5.9130125	-13.606175	8541.250717154331	250.74928284566838
mscoco	init	med	9	4	10.377218	-6.5666566	-14.847774	8561.962707974757	230.03729202524383	9.350344	-6.2645783	-14.208237	8564.50430292599	227.49569707401034
mscoco	init	med	9	5	10.508436	-6.063874	-14.141853	8515.557659208262	276.4423407917384	9.189991	-5.821849	-13.596258	8524.248995983935	267.75100401606426
mscoco	init	med	9	6	10.936151	-7.0115776	-15.675808	8593.341939185313	198.65806081468733	10.075889	-6.6876097	-15.022492	8600.575444635686	191.4245553643144
mscoco	init	med	9	7	10.48501	-6.8877335	-15.471195	8606.839357429719	185.1606425702811	9.758652	-6.6057367	-14.895159	8609.934021801491	182.06597819850833
mscoco	init	med	9	8	11.216397	-4.9578056	-12.580358	8398.445209409065	393.55479059093517	9.243575	-4.7828584	-12.099303	8404.17900172117	387.8209982788296
mscoco	init	med	9	9	11.183024	-7.446146	-16.035402	8625.914515203673	166.08548479632816	10.333197	-6.996505	-15.191952	8623.686746987953	168.3132530120482
mscoco	init	med	10	0	9.408553	-6.2791257	-13.497548	8650.205660377358	141.7943396226415	9.359379	-6.3017035	-13.579843	8653.286792452831	138.71320754716982
mscoco	init	med	10	1	8.919187	-4.564445	-11.094938	8434.951886792453	357.04811320754715	8.720169	-4.5601134	-11.01515	8437.650943396226	354.3490566037736
mscoco	init	med	10	2	10.35443	-5.877907	-13.552296	8530.919811320755	261.0801886792453	9.256645	-5.58535	-12.955343	8538.803773584905	253.19622641509434
mscoco	init	med	10	3	10.515588	-6.3076787	-14.379662	8535.57924528302	256.42075471698115	9.279088	-6.0760045	-13.904203	8555.501886792454	236.49811320754716
mscoco	init	med	10	4	10.451261	-6.060067	-14.078163	8511.58679245283	280.4132075471698	9.112288	-5.774216	-13.432591	8515.387735849057	276.6122641509434
mscoco	init	med	10	5	10.95975	-6.4203973	-14.701834	8537.289622641509	254.71037735849058	9.392257	-6.0100956	-13.880312	8533.855660377358	258.1443396226415
mscoco	init	med	10	6	10.703038	-6.825804	-15.325482	8572.59716981132	219.40283018867925	9.505153	-6.472252	-14.6597805	8577.82641509434	214.1735849056604
mscoco	init	med	10	7	11.540069	-7.011139	-15.813358	8592.287735849057	199.71226415094338	10.727204	-6.6833386	-15.303642	8595.241509433963	196.75849056603772
mscoco	init	med	10	8	10.925402	-6.7710357	-15.425534	8584.35283018868	207.64716981132077	9.968576	-6.4509115	-14.712557	8582.082075471699	209.91792452830188
mscoco	init	med	10	9	11.677945	-5.0368586	-12.923328	8392.722641509434	399.27735849056603	9.396447	-4.855395	-12.418142	8391.399056603774	400.6009433962264
mscoco	init	med	10	10	12.024444	-7.5843005	-16.340994	8630.775471698113	161.2245283018868	11.150172	-7.074039	-15.3964	8627.440566037736	164.55943396226414
mscoco	init	med	11	0	9.365424	-6.342267	-13.608478	8655.270875763748	136.72912423625255	9.357555	-6.2815146	-13.512809	8653.985743380856	138.0142566191446
mscoco	init	med	11	1	8.859147	-4.590772	-11.011711	8442.633401221996	349.36659877800406	8.661093	-4.5356073	-10.969735	8434.85132382892	357.14867617107944
mscoco	init	med	11	2	10.182172	-5.7857146	-13.369417	8530.849287169043	261.1507128309572	8.998486	-5.5183997	-12.907273	8530.059063136456	261.9409368635438
mscoco	init	med	11	3	11.148514	-6.2475777	-14.492329	8536.063136456212	255.93686354378818	9.726828	-6.1443653	-14.172266	8554.246435845214	237.75356415478615
mscoco	init	med	11	4	10.168253	-6.593456	-14.8352	8566.674134419553	225.32586558044807	9.224606	-6.250381	-14.2245865	8565.987780040734	226.01221995926682
mscoco	init	med	11	5	10.526299	-6.3225565	-14.441926	8529.346232179227	262.6537678207739	9.17872	-6.0169845	-13.898436	8524.598778004074	267.4012219959267
mscoco	init	med	11	6	10.630608	-6.942477	-15.438305	8589.9633401222	202.03665987780042	9.657602	-6.6337523	-14.812931	8589.580448065173	202.41955193482687
mscoco	init	med	11	7	10.60261	-6.448778	-14.701003	8559.613034623218	232.3869653767821	9.810771	-6.269641	-14.398064	8572.354378818738	219.64562118126273
mscoco	init	med	11	8	11.232585	-6.936687	-15.602839	8582.297352342159	209.70264765784114	10.693085	-6.6913476	-15.158254	8584.427698574338	207.57230142566192
mscoco	init	med	11	9	11.135895	-6.9334764	-15.727935	8587.49083503055	204.5091649694501	10.149736	-6.686233	-15.256551	8592.299389002037	199.70061099796334
mscoco	init	med	11	10	12.0764265	-5.0852466	-12.885343	8395.405295315682	396.5947046843177	9.766992	-4.9781914	-12.563002	8412.608961303462	379.3910386965377
mscoco	init	med	11	11	12.208964	-7.6449647	-16.382915	8632.598778004074	159.40122199592668	11.462521	-7.291948	-15.692779	8633.191446028513	158.80855397148676
mscoco	init	med	12	0	9.266806	-6.2169123	-13.315633	8647.258620689656	144.74137931034483	9.350777	-6.259387	-13.473913	8653.310344827587	138.68965517241378
mscoco	init	med	12	1	8.919079	-4.568449	-11.107828	8434.836206896553	357.16379310344826	8.9429035	-4.5226493	-10.9987545	8435.396551724138	356.6034482758621
mscoco	init	med	12	2	11.44986	-6.2829485	-14.129566	8573.198275862069	218.80172413793105	10.389544	-6.0007463	-13.691519	8573.905172413793	218.0948275862069
mscoco	init	med	12	3	11.001758	-5.5404954	-13.07974	8475.594827586207	316.4051724137931	9.731829	-5.4215426	-12.88422	8482.48275862069	309.51724137931035
mscoco	init	med	12	4	9.939203	-6.0405917	-14.000184	8508.922413793103	283.07758620689657	9.040332	-5.834743	-13.628729	8517.681034482759	274.3189655172414
mscoco	init	med	12	5	10.906762	-6.9910316	-15.4919	8576.853448275862	215.14655172413794	10.083402	-6.630574	-14.992544	8576.663793103447	215.33620689655172
mscoco	init	med	12	6	10.1651	-7.0517664	-15.585864	8595.293103448275	196.70689655172413	9.62343	-6.8145022	-15.283088	8598.620689655172	193.3793103448276
mscoco	init	med	12	7	11.861453	-7.0294995	-15.949037	8595.672413793103	196.32758620689654	11.44184	-6.8254147	-15.517646	8600.568965517241	191.43103448275863
mscoco	init	med	12	8	10.904209	-7.1592164	-15.693287	8610.818965517241	181.18103448275863	10.379317	-6.98617	-15.511745	8617.008620689656	174.99137931034483
mscoco	init	med	12	9	10.918619	-5.7823534	-13.760266	8481.887931034482	310.11206896551727	9.740149	-5.654648	-13.657733	8483.818965517241	308.1810344827586
mscoco	init	med	12	10	13.00202	-6.6115665	-15.83181	8536.646551724138	255.35344827586206	11.46133	-6.307892	-15.258121	8532.379310344828	259.62068965517244
mscoco	init	med	12	11	13.372439	-5.114168	-13.304563	8367.741379310344	424.2586206896552	10.547502	-5.1043134	-13.18177	8391.629310344828	400.37068965517244
mscoco	init	med	12	12	12.786386	-7.828607	-16.781206	8634.672413793103	157.32758620689654	12.27309	-7.446981	-16.063759	8636.551724137931	155.44827586206895
mscoco	init	med	13	0	9.184155	-6.197891	-13.477191	8646.36	145.64	9.28229	-6.335864	-13.507339	8656.48	135.52
mscoco	init	med	13	1	8.66045	-4.566588	-10.894584	8434.6	357.4	8.557887	-4.611331	-10.87979	8449.0	343.0
mscoco	init	med	13	2	10.460815	-5.972031	-13.372351	8551.72	240.28	9.142199	-5.6304107	-12.73675	8547.88	244.12
mscoco	init	med	13	3	10.61642	-6.086674	-13.889515	8533.28	258.72	9.624021	-5.9950438	-13.891211	8558.16	233.84
mscoco	init	med	13	4	9.724145	-5.9766526	-13.774457	8512.48	279.52	8.988804	-5.7000904	-13.226376	8509.72	282.28
mscoco	init	med	13	5	10.789981	-6.411078	-14.987844	8547.76	244.24	9.452053	-6.094816	-14.099227	8523.36	268.64
mscoco	init	med	13	6	10.1139765	-6.443976	-14.477185	8559.64	232.36	9.190339	-6.414091	-14.590747	8585.52	206.48
mscoco	init	med	13	7	9.565638	-6.607842	-14.924331	8572.16	219.84	9.1188965	-6.4970574	-14.710838	8589.04	202.96
mscoco	init	med	13	8	11.034521	-6.5166802	-15.147891	8567.4	224.6	10.463153	-6.5446234	-15.053131	8579.72	212.28
mscoco	init	med	13	9	10.070558	-6.6371503	-14.926274	8565.76	226.24	9.719501	-6.731844	-15.186794	8578.08	213.92
mscoco	init	med	13	10	10.886848	-6.6714325	-15.263218	8549.64	242.36	10.115459	-6.4830403	-14.783106	8551.64	240.36
mscoco	init	med	13	11	11.974627	-6.599551	-15.399266	8550.52	241.48	10.871892	-6.4344883	-14.683852	8557.72	234.28
mscoco	init	med	13	12	12.287412	-4.924039	-12.675323	8347.0	445.0	10.862252	-4.9048066	-12.6891575	8378.0	414.0
mscoco	init	med	13	13	12.45091	-7.659616	-16.614897	8633.84	158.16	11.96276	-7.6326847	-16.485167	8648.72	143.28
mscoco	init	min	7	0	9.361712	-6.3269863	-13.674838	8647.33552631579	144.66447368421052	9.495791	-6.384459	-13.800958	8653.592105263158	138.4078947368421
mscoco	init	min	7	1	8.998408	-4.5312896	-11.099586	8421.263157894737	370.7368421052632	8.558586	-4.578254	-11.123419	8437.46052631579	354.5394736842105
mscoco	init	min	7	2	9.580453	-5.6064267	-13.1957	8495.802631578947	296.19736842105266	8.06807	-5.338548	-12.440839	8517.28947368421	274.7105263157895
mscoco	init	min	7	3	9.971219	-6.166018	-14.158088	8508.427631578947	283.57236842105266	8.785431	-5.999697	-13.708247	8552.342105263158	239.6578947368421
mscoco	init	min	7	4	10.169546	-6.8827786	-15.467259	8586.427631578947	205.57236842105263	9.321871	-6.5648775	-14.71105	8609.598684210527	182.40131578947367
mscoco	init	min	7	5	10.111778	-6.318634	-14.372709	8541.03947368421	250.96052631578948	8.881491	-6.1123347	-13.939005	8571.105263157895	220.89473684210526
mscoco	init	min	7	6	11.038757	-4.9131584	-12.467192	8388.644736842105	403.35526315789474	8.306909	-4.8603134	-12.107309	8441.434210526315	350.5657894736842
mscoco	init	min	7	7	9.104321	-7.028096	-15.217401	8601.138157894737	190.86184210526315	8.504059	-6.624991	-14.366714	8609.131578947368	182.8684210526316
mscoco	init	min	8	0	9.30948	-6.270903	-13.476266	8650.696669029057	141.3033309709426	9.3697195	-6.344395	-13.669073	8650.054571226081	141.94542877391922
mscoco	init	min	8	1	8.83346	-4.558179	-11.044076	8430.67399007796	361.3260099220411	8.666903	-4.6260605	-11.226603	8438.220411055989	353.7795889440113
mscoco	init	min	8	2	10.241755	-5.934371	-13.751846	8539.030474840538	252.96952515946137	8.951059	-5.6199923	-13.132422	8544.56909992913	247.43090007087173
mscoco	init	min	8	3	10.257968	-6.074541	-13.868771	8539.285613040396	252.71438695960313	9.038531	-5.8558354	-13.39033	8555.470588235294	236.52941176470588
mscoco	init	min	8	4	9.863739	-5.707947	-13.408666	8486.737774627923	305.26222537207656	8.606538	-5.509358	-12.9625435	8495.311835577604	296.68816442239546
mscoco	init	min	8	5	9.92303	-6.8202634	-15.20097	8589.888731396173	202.11126860382709	9.135886	-6.457434	-14.475818	8600.034018426648	191.96598157335222
mscoco	init	min	8	6	10.169761	-6.9330773	-15.33717	8612.154500354358	179.84549964564138	9.251109	-6.5318093	-14.515229	8620.373493975903	171.6265060240964
mscoco	init	min	8	7	10.259698	-4.8428483	-12.1577	8399.153791637136	392.8462083628632	8.159431	-4.7111096	-11.693399	8420.936924167258	371.06307583274275
mscoco	init	min	8	8	10.072999	-7.194802	-15.384404	8619.316087880936	172.6839121190645	9.36603	-6.767825	-14.742969	8622.618001417435	169.38199858256556
mscoco	init	min	9	0	9.393943	-6.3423853	-13.623541	8653.014916810098	138.98508318990247	9.337697	-6.2904963	-13.612176	8647.734939759037	144.26506024096386
mscoco	init	min	9	1	8.680869	-4.598754	-11.033134	8443.037865748709	348.9621342512909	8.545615	-4.60316	-11.212722	8433.636259323006	358.3637406769937
mscoco	init	min	9	2	10.546614	-5.852489	-13.603322	8535.542742398164	256.4572576018359	9.0468235	-5.585291	-13.072657	8537.05106138841	254.94893861158923
mscoco	init	min	9	3	10.5253	-6.1852646	-14.169033	8531.24727481354	260.7527251864601	9.284962	-5.91812	-13.604041	8538.669535283992	253.33046471600687
mscoco	init	min	9	4	10.377218	-6.5666566	-14.847774	8561.962707974757	230.03729202524383	9.244852	-6.252854	-14.170622	8561.620768789444	230.37923121055653
mscoco	init	min	9	5	10.508436	-6.063874	-14.141853	8515.557659208262	276.4423407917384	8.996274	-5.8622756	-13.682359	8530.63224325875	261.36775674125073
